Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
fishing,USD,32.49,32.49,32.49,119.9,-,-
surf,USD,32.49,32.49,32.49,134.9,-,-
cricket,USD,25.99,25.99,25.99,119.9,-,-
fitness,USD,9.49,39.99,39.99,129.9,-,-
dance,USD,25.49,26.24,26.24,114.9,-,-
futbol,USD,22,23.9,23.9,104.9,-,-
rodeo,USD,12.99,12.99,12.99,99.9,-,-
cab,USD,15.59,31.24,31.24,124.9,-,-
guide,USD,15.99,39.99,39.99,129.9,-,-
reise,USD,110,110,110,209.9,-,-
viajes,USD,55,55,55,149.9,-,-
camp,USD,8.49,59.99,59.99,154.9,-,-
holiday,USD,6.99,62.49,62.49,159.9,-,-
reisen,USD,22,22,22,109.9,-,-
voyage,USD,6.99,56.24,56.24,154.9,-,-
cruises,USD,9.99,53.75,53.75,154.9,-,-
limo,USD,12.5,52.49,52.49,154.9,-,-
flights,USD,37.5,56.24,56.24,154.9,-,-
place,USD,33,33,33,109.9,-,-
vacations,USD,6.99,37.49,37.49,129.9,-,-
camera,USD,13.99,56.24,56.24,159.9,-,-
directory,USD,5.49,26.24,26.24,114.9,-,-
hosting,USD,375,375,375,699.9,-,-
systems,USD,22.51,33.74,33.74,119.9,-,-
website,USD,25,25.02,25.02,119.9,-,-
click,USD,1.99,11.72,11.72,79.9,-,-
link,USD,8.77,10.47,10.47,74.9,-,-
software,USD,19.49,39.99,39.99,129.9,-,-
technology,USD,11.49,28.01,28.01,119.9,-,-
codes,USD,8.49,68.74,68.74,164.9,-,-
email,USD,8.51,29.99,29.99,119.9,-,-
solar,USD,6.99,62.49,62.49,159.9,-,-
wang,USD,12.99,12.99,12.99,153,-,-
computer,USD,22.09,37.49,37.49,129.9,-,-
host,USD,99.99,99.99,99.99,289.9,-,-
network,USD,4.99,33.74,33.74,124.9,-,-
space,USD,0.99,31.24,31.24,119.9,-,-
webcam,USD,29.99,29.99,29.99,134.9,-,-
catering,USD,33.99,33.75,33.75,134.9,-,-
gives,USD,26.88,26.88,26.88,129.9,-,-
ink,USD,32.49,32.49,32.49,129.9,-,-
pink,USD,9.99,24.99,24.99,109.9,-,-
supply,USD,25.99,22.5,22.5,114.9,-,-
works,USD,7.49,37.49,37.49,129.9,-,-
black,USD,18.99,62.49,62.49,164.9,-,-
christmas,USD,44.84,44.84,44.84,159.9,-,-
glass,USD,54.99,56.5,56.5,169.9,-,-
lighting,USD,9.99,22.52,22.52,114.9,-,-
red,USD,9.99,22.49,22.49,109.9,-,-
